codigo_bo,ano_ocorrencia,data_ocorrencia_bo,nome_municipio,nome_delegacia,tipo_ocorrencia,local_ocorrencia,bairro,flagrante,natureza_autor,sexo_autor,idade_autor,raca_autor,profissao_autor,escolaridade_autor,tipo_prisao_ssp
Df6611,2025,2025-03-01,Votorantim,Ddm Votorantim,Tráfico De Entorpecentes,Casa,Vila Dominguinho,S,Adolescente Infrator,M,16,Não Informado,Desempregado,1º Grau Incompleto,Nº De Infratores Apreendidos Em Flagrante
Jf8683,2025,2025-06-26,Sorocaba,Ddm Sorocaba,,Casa,Jardim Wanel Ville Iv,N,Autor,M,31,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Por Mandado
Cq4606,2025,2025-02-20,Votorantim,Ddm Votorantim,,Casa,Vila Amorim,S,Autor,M,64,Não Informado,Segurança,1º Grau Incompleto,Nº De Infratores Presos Em Flagrante
Is8278,2025,2025-06-16,Sorocaba,Ddm Sorocaba,Lesão Corporal Dolosa,Via Pública,Caguassu,S,Autor,M,34,Não Informado,Pedreiro,Não Informado,Nº De Infratores Presos Em Flagrante
Oe0159,2025,2025-09-26,Sorocaba,Ddm Sorocaba,,Bureau De Serviços,Jardim Maria Do Carmo,S,Autor,M,31,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
Kb6049,2025,2025-07-11,Sorocaba,Ddm Sorocaba,,Apartamentos,Caguaçu,S,Autor,M,31,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
Lh8930,2025,2025-08-05,Sorocaba,Ddm Sorocaba,Lesão Corporal Dolosa,Casa,Vila Jardim,S,Autor,M,18,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
De2647,2025,2025-02-28,Sorocaba,Ddm Sorocaba,,Casa,Jardim Simus,S,Autor,M,59,Não Informado,Aposentado(A),Não Informado,Nº De Infratores Presos Em Flagrante
Am3251,2025,2025-01-10,Sorocaba,Ddm Sorocaba,,Casas,Genebra,S,Autor,M,62,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
En9808,2025,2025-03-27,Sorocaba,Ddm Sorocaba,,Casa,Vila Trujillo,S,Autor,M,42,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
Jj3513,2025,2025-06-29,Sorocaba,Ddm Sorocaba,Lesão Corporal Dolosa,Casa,Aparecidinha,S,Autor,M,37,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
No0131,2025,2025-09-15,Sorocaba,Ddm Sorocaba,,Casas,Parque Sao Bento,S,Autor/Vítima,M,63,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
Ea9439,2025,2025-03-18,Sorocaba,Ddm Sorocaba,,Via Pública,Jardim Califórnia,N,Capturado,M,56,Não Informado,Ajudante Geral,1º Grau Incompleto,Nº De Infratores Presos Por Mandado
Eu7065,2025,2025-04-01,Sorocaba,Ddm Sorocaba,,Delegacia,Jardim Uirapuru,N,Capturado,F,31,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Por Mandado
Ki9155,2025,2025-07-17,Sorocaba,Ddm Sorocaba,,Apartamento,Recreio Dos Sorocabanos,N,Capturado,M,29,Não Informado,Autonomo(A),Superior Incompleto,Nº De Infratores Presos Por Mandado
Kb0035,2025,2025-07-11,Sorocaba,Ddm Sorocaba,,Casa,Jardim Praiso,N,Capturado,M,51,Não Informado,Engenheiro(A),Superior Completo,Nº De Infratores Presos Por Mandado
Ep0306,2025,2025-03-28,Votorantim,Ddm Votorantim,,Casa,Jardim Maria Jose,N,Capturado,M,32,Não Informado,Reciclador,2º Grau Completo,Nº De Infratores Presos Por Mandado
Ky5238,2025,2025-07-29,Sorocaba,Ddm Sorocaba,,Casa,Jardim Hungares,N,Capturado,M,34,Não Informado,Autonomo(A),Não Informado,Nº De Infratores Presos Por Mandado
Gr7844,2025,2025-05-08,Sorocaba,Ddm Sorocaba,,Casa,Além Ponte,N,Capturado,M,27,Não Informado,Eletricista,2º Grau Completo,Nº De Infratores Presos Por Mandado
Hd2269,2025,2025-05-16,Votorantim,Ddm Votorantim,,Delegacia,Jardim Icatu,N,Capturado,M,25,Não Informado,Sem Profissao Definida,2º Grau Incompleto,Nº De Infratores Presos Por Mandado
Cq8851,2025,2025-02-20,Sorocaba,Ddm Sorocaba,,Via Pública,Vila Barao,N,Capturado,M,24,Não Informado,Operador(A),2º Grau Completo,Nº De Infratores Presos Por Mandado
Ij2649,2025,2025-06-09,Votorantim,Ddm Votorantim,,Delegacia,Jardim Icatu,N,Capturado,M,66,Não Informado,Motorista,2º Grau Completo,Nº De Infratores Presos Por Mandado
Dt1043,2025,2025-03-12,Votorantim,Ddm Sorocaba,,Casa,Jardim Archila,N,Capturado,M,27,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Por Mandado
Lm9461,2025,2025-08-08,Sorocaba,Ddm Sorocaba,,Casa,Jardim Dois Corações,N,Capturado,M,41,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Por Mandado
De5993,2025,2025-02-28,Sorocaba,Ddm Sorocaba,,Delegacia,Jardi Embaixador,N,Capturado,M,53,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Por Mandado
Em3526,2025,2025-03-26,Votorantim,Ddm Sorocaba,,Casa,Parque Bela Vista,N,Capturado,M,41,Não Informado,Consultor(A),Superior Completo,Nº De Infratores Presos Por Mandado
Iw2390,2025,2025-06-18,Sorocaba,Ddm Sorocaba,,Casa,Jardim Dois Coracoes,N,Capturado,M,30,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Por Mandado
Ee0135,2025,2025-03-20,Sorocaba,Ddm Sorocaba,,Via Pública,Vila Rodrigues,N,Capturado,M,30,Não Informado,Pedreiro,1º Grau Incompleto,Nº De Infratores Presos Por Mandado
Co0681,2025,2025-02-18,Sorocaba,Ddm Sorocaba,,Metalúrgica,Éden,N,Capturado,M,37,Não Informado,Operario(A),2º Grau Completo,Nº De Infratores Presos Por Mandado
Jh4102,2025,2025-06-27,Sorocaba,Ddm Sorocaba,,Casas,Jardim Guaruja,N,Capturado,M,48,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Por Mandado
Od7926,2025,2025-09-26,Sorocaba,Ddm Sorocaba,,Delegacia,Jardi Embaixador,N,Capturado,M,31,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Por Mandado
Rb0496,2024,2024-12-10,Sorocaba,Ddm Sorocaba,,Delegacia,Jardi Embaixador,N,Capturado,M,42,Não Informado,Promotor(A),2º Grau Completo,Nº De Infratores Presos Por Mandado
Oh5226,2025,2025-09-29,Sorocaba,Ddm Sorocaba,,Delegacia,Jardi Embaixador,N,Capturado,M,39,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Por Mandado
Mz8705,2025,2025-09-05,Sorocaba,Ddm Sorocaba,,Casa,Jardim Wanel Ville Iii,N,Capturado,M,38,Não Informado,Entregador(A),1º Grau Completo,Nº De Infratores Presos Por Mandado
Hk2978,2025,2025-05-21,Sorocaba,Ddm Sorocaba,,Delegacia,Jardi Embaixador,N,Capturado,M,41,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Por Mandado
Bs2548,2025,2025-02-03,Sorocaba,Ddm Sorocaba,,Escritórios,Não Informado,N,Capturado,M,53,Não Informado,Auxiliar De Enfermagen,2º Grau Completo,Nº De Infratores Presos Por Mandado
Eu9368,2025,2025-04-01,Sorocaba,Ddm Sorocaba,,Casa,Aparecidinha,N,Capturado,M,49,Não Informado,Não Informado,2º Grau Completo,Nº De Infratores Presos Por Mandado
Ef2128,2025,2025-03-21,Sorocaba,Ddm Sorocaba,,Casa,Parque Vitoria Regia,N,Capturado,M,40,Não Informado,Musico(A),2º Grau Completo,Nº De Infratores Presos Por Mandado
Fp7028,2025,2025-04-16,Votorantim,Ddm Sorocaba,,Obra/Construção,Jardim Toledo,N,Capturado,M,35,Não Informado,Pedreiro,1º Grau Completo,Nº De Infratores Presos Por Mandado
Jo0802,2025,2025-07-02,Votorantim,Ddm Votorantim,,Casa,Green Valley,N,Capturado,M,26,Não Informado,Cozinheiro(A),2º Grau Completo,Nº De Infratores Presos Por Mandado
Bp1441,2025,2025-01-31,Sorocaba,Ddm Sorocaba,,Casa,Jardim Lena,N,Capturado,M,26,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Por Mandado
Fx9798,2025,2025-04-23,Sorocaba,Ddm Sorocaba,,Casas,Jardim Colinas De Sao Guilherme,N,Capturado,M,36,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Por Mandado
Lg6321,2025,2025-08-04,Sorocaba,Ddm Sorocaba,,Delegacia,Jardi Embaixador,N,Capturado,M,23,Não Informado,Autonomo(A),Superior Incompleto,Nº De Infratores Presos Por Mandado
Jz4581,2025,2025-07-10,Sorocaba,Ddm Sorocaba,,Casa,Brigadeiro Tobias,N,Capturado,M,41,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Por Mandado
Hc0580,2025,2025-05-15,Sorocaba,Ddm Sorocaba,,Apartamentos,Altos De Ipanema,N,Capturado,M,20,Não Informado,Auxiliar De Expedicao,2º Grau Completo,Nº De Infratores Presos Por Mandado
Bh9214,2025,2025-01-27,Sorocaba,Ddm Votorantim,,Casa,Vila Espirito Santo,N,Capturado,M,46,Não Informado,Mecanico(A),2º Grau Completo,Nº De Infratores Presos Por Mandado
Aq5838,2025,2025-01-14,Sorocaba,Ddm Sorocaba,,Delegacia,Jardim America,N,Capturado,M,21,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Por Mandado
Dt2358,2025,2025-03-12,Sorocaba,Ddm Sorocaba,,Delegacia,Jardi Embaixador,N,Capturado,M,44,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Por Mandado
Ai3606,2025,2025-01-08,Sorocaba,Ddm Sorocaba,,Casa,Vila Jardini,N,Capturado,M,37,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Por Mandado
Mv1416,2025,2025-09-02,Votorantim,Ddm Votorantim,,Delegacia,Jardim Icatu,N,Capturado,M,48,Não Informado,Motorista,1º Grau Completo,Nº De Infratores Presos Por Mandado
Kw8016,2025,2025-07-28,Sorocaba,Ddm Sorocaba,,Casas, ,N,Capturado,M,60,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Por Mandado
Mq7118,2025,2025-08-29,Sorocaba,Ddm Sorocaba,,Via Pública,Jardim Vergueiro,N,Capturado,M,32,Não Informado,Vendedor(A) Ambulante,Superior Completo,Nº De Infratores Presos Por Mandado
Cd7031,2025,2025-02-11,Sorocaba,Ddm Sorocaba,,Casa,Vila Fiori,N,Capturado,M,26,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Por Mandado
Dp7240,2025,2025-03-10,Sorocaba,Ddm Sorocaba,Lesão Corporal Dolosa,Casa,Vila Helena,S,Indiciado,M,27,Não Informado,Desempregado,2º Grau Completo,Nº De Infratores Presos Em Flagrante
Ds8690,2025,2025-03-12,Sorocaba,Ddm Sorocaba,Porte De Entorpecentes,Casa,Jardim San Rafael,S,Indiciado,M,33,Não Informado,Pedreiro,2º Grau Completo,Nº De Infratores Presos Em Flagrante
Bv7841,2025,2025-02-05,Sorocaba,Ddm Sorocaba,,Casa,Jardim Pagliato,S,Indiciado,M,33,Não Informado,Funcion.Publico Municipal,Superior Completo,Nº De Infratores Presos Em Flagrante
Cy8429,2025,2025-02-25,Votorantim,Ddm Votorantim,,Casa,Jardim São Matheus,S,Indiciado,M,46,Não Informado,Desempregado,1º Grau Incompleto,Nº De Infratores Presos Em Flagrante
Lf7979,2025,2025-08-04,Sorocaba,Ddm Sorocaba,,Casas,Vila Sao Joao,S,Indiciado,M,42,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
Ll4729,2025,2025-08-07,Sorocaba,Ddm Sorocaba,Estupro De Vulnerável,Casa,Parque Sao Bento,S,Indiciado,M,23,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
Bw9737,2025,2025-02-06,Sorocaba,Ddm Sorocaba,,Casa,Vila Douglas Lara,S,Indiciado,M,39,Não Informado,Pintor(A),1º Grau Completo,Nº De Infratores Presos Em Flagrante
Bk1884,2025,2025-01-28,Sorocaba,Ddm Sorocaba,Lesão Corporal Dolosa,Casa,Cajuru Do Sul,S,Indiciado,M,18,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
Bd3972,2025,2025-01-23,Sorocaba,Ddm Sorocaba,Lesão Corporal Dolosa,Casa,Lopes De Oliveira,S,Indiciado,M,35,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
Bp5703,2025,2025-01-31,Votorantim,Ddm Votorantim,,Casa,Jardim Toledo,S,Indiciado,M,31,Não Informado,Auxiliar De Producao,2º Grau Completo,Nº De Infratores Presos Em Flagrante
Ei0849,2025,2025-03-24,Sorocaba,Ddm Sorocaba,Lesão Corporal Dolosa,Casa,Jardim Montreal,S,Indiciado,M,31,Não Informado,Mecanico(A),2º Grau Completo,Nº De Infratores Presos Em Flagrante
Ex3260,2025,2025-04-03,Votorantim,Ddm Votorantim,Lesão Corporal Dolosa,Casa,Centro,S,Indiciado,M,30,Não Informado,Sem Profissao Definida,2º Grau Incompleto,Nº De Infratores Presos Em Flagrante
Gw8329,2025,2025-05-12,Sorocaba,Ddm Sorocaba,,Casa,Vila Nova Esperanca,S,Indiciado,M,22,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
Nh8993,2025,2025-09-11,Sorocaba,Ddm Sorocaba,,Via Pública,Jardim Santa Marina I,S,Indiciado,M,32,Não Informado,Garçon(Ete),1º Grau Incompleto,Nº De Infratores Presos Em Flagrante
Mv2839,2025,2025-09-02,Sorocaba,Ddm Sorocaba,,Casa,Jardim Nova Esperanca,S,Indiciado,M,42,Não Informado,Auxiliar De Producao,2º Grau Completo,Nº De Infratores Presos Em Flagrante
Ny2102,2025,2025-09-23,Sorocaba,Ddm Sorocaba,,Casa,Parque Vitoria Regia,S,Indiciado,M,38,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
Ki4254,2025,2025-07-17,Sorocaba,Ddm Sorocaba,,Casa,Jardim Sao Marcos,S,Indiciado,F,44,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
Da6966,2025,2025-02-26,Sorocaba,Ddm Sorocaba,Tentativa De Homicídio,Casa,Vila Gabriel,S,Indiciado,M,37,Não Informado,Sem Profissao Definida,2º Grau Completo,Nº De Infratores Presos Em Flagrante
Ch3172,2025,2025-02-13,Sorocaba,Ddm Sorocaba,Porte De Arma,Casa,Zacarias,S,Indiciado,M,36,Não Informado,Operador(A),2º Grau Completo,Nº De Infratores Presos Em Flagrante
Ey7235,2025,2025-04-04,Sorocaba,Ddm Sorocaba,,Casa,Jardim Novo Horizonte,S,Indiciado,F,52,Não Informado,Desempregado(A),Não Informado,Nº De Infratores Presos Em Flagrante
Io1930,2025,2025-06-12,Sorocaba,Ddm Sorocaba,Lesão Corporal Dolosa,Casa,Vila Tupa,S,Indiciado,F,25,Não Informado,Faxineiro(A),1º Grau Incompleto,Nº De Infratores Presos Em Flagrante
Dt7206,2025,2025-03-13,Sorocaba,Ddm Sorocaba,,Casa,Vila Josue Dos Santos,S,Indiciado,M,35,Não Informado,Mecanico(A),2º Grau Completo,Nº De Infratores Presos Em Flagrante
Df6611,2025,2025-03-01,Votorantim,Ddm Votorantim,Tráfico De Entorpecentes,Casa,Vila Dominguinho,S,Indiciado,M,18,Não Informado,Desempregado,2º Grau Incompleto,Nº De Infratores Presos Em Flagrante
Et7880,2025,2025-04-01,Sorocaba,Ddm Sorocaba,Estupro De Vulnerável,Casa,Jardim Dos Estados,S,Indiciado,M,43,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
Ae9661,2025,2025-01-06,Sorocaba,Ddm Sorocaba,Roubo - Outros,Casa,Jardim Wanel Ville Iv,S,Indiciado,M,32,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
Cb3704,2025,2025-02-10,Sorocaba,Ddm Sorocaba,Lesão Corporal Dolosa,Via Pública,Jardim Montevideo,S,Indiciado,M,39,Não Informado,Pedreiro,2º Grau Completo,Nº De Infratores Presos Em Flagrante
Fl4945,2025,2025-04-14,Sorocaba,Ddm Sorocaba,,Casa,Jardim Ouro Fino,S,Indiciado,M,42,Não Informado,Desempregado(A),2º Grau Completo,Nº De Infratores Presos Em Flagrante
Oi2097,2025,2025-09-30,Sorocaba,Ddm Sorocaba,,Casa,Jardim Prestes De Barros,S,Indiciado,M,30,Não Informado,Desempregado,2º Grau Completo,Nº De Infratores Presos Em Flagrante
Bd7974,2025,2025-01-23,Sorocaba,Ddm Sorocaba,,Casa,Jardim Zulmira,S,Indiciado,M,43,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
Ev5007,2025,2025-04-02,Sorocaba,Ddm Sorocaba,,Casa,Jardim Zulmira,S,Indiciado,M,52,Não Informado,Catador Material Reciclavel,1º Grau Completo,Nº De Infratores Presos Em Flagrante
If5781,2025,2025-06-06,Sorocaba,Ddm Sorocaba,Lesão Corporal Dolosa,Casa,Jardim Alpes De Sorocaba,S,Indiciado,M,25,Não Informado,Auxiliar De Estoque,Superior Incompleto,Nº De Infratores Presos Em Flagrante
Lz5546,2025,2025-08-18,Sorocaba,Ddm Sorocaba,Lesão Corporal Dolosa,Via Pública,Jardim Sao Guilherme,S,Indiciado,M,70,Não Informado,Não Informado,Não Informado,Nº De Infratores Presos Em Flagrante
Bm4743,2025,2025-01-29,Sorocaba,Ddm Sorocaba,,Casa,Vila Egidio,S,Indiciado,M,35,Não Informado,Mecanico(A) De Manutencao,2º Grau Completo,Nº De Infratores Presos Em Flagrante
Mx9716,2025,2025-09-04,Sorocaba,Ddm Sorocaba,,Apartamentos,Jardim Horizonte,S,Indiciado,M,42,Não Informado,Pedreiro,1º Grau Completo,Nº De Infratores Presos Em Flagrante
